id,author,work,date,era,kind,provenance_class,topics,related_topics,primary_url,reader_url,license,status,notes
af-001,Clement of Rome,1 Clement,c. AD 96,Apostolic Fathers,Primary patristic text,Primary Text,Church & Authority; Apostolic Succession; Unity; Ministry,"Apostolic Succession; Apostolic Succession: “Authority Ended With the Apostles”; Early Christians and Apostolic Succession; Irenaeus, Polycarp and Apostolic Succession; Clement of Rome and Apostolic Ministry; A Visible Church and Christian Unity",https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
af-002,Anonymous / traditionally Clement,2 Clement,c. AD 100–150,Apostolic Fathers,Primary patristic text,Primary Text,Christology; Moral Life; Repentance,Abortion; Alcohol / Wine; Almsgiving; Born Again: Water and the Spirit; Can Salvation Be Lost?; Cardinal Virtues,https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
af-003,Ignatius of Antioch,Letter to the Ephesians,c. AD 107,Apostolic Fathers,Primary patristic text,Primary Text,Eucharist; Bishop; Church Unity; Christology,"Early Christians and the Eucharist; Eucharist / Holy Communion; Manna and the Eucharist; Melchizedek, Priesthood and Eucharist; The Eucharist as Sacrifice; The Eucharist: “Jesus Was Only Speaking Symbolically”",https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
af-004,Ignatius of Antioch,Letter to the Magnesians,c. AD 107,Apostolic Fathers,Primary patristic text,Primary Text,Bishop; Sunday Worship; Church Unity,Ignatius of Antioch and the Catholic Church; Protestant: “Sunday Worship Is a Catholic Corruption”; Sunday Worship and the Lord’s Day; Sunday Worship: “Christians Must Keep the Seventh-Day Sabbath”; A Visible Church and Christian Unity; Islam: “The Trinity Means Christians Worship Three Gods”,https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
af-005,Ignatius of Antioch,Letter to the Trallians,c. AD 107,Apostolic Fathers,Primary patristic text,Primary Text,Bishop; Deacons; Church Unity,Ignatius of Antioch and the Catholic Church; A Visible Church and Christian Unity; Unity of the Church,https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
af-006,Ignatius of Antioch,Letter to the Romans,c. AD 107,Apostolic Fathers,Primary patristic text,Primary Text,Martyrdom; Church of Rome,"Ignatius of Antioch and the Catholic Church; Clement of Rome and Apostolic Ministry; Councils of Rome, Hippo and Carthage and the Canon",https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
af-007,Ignatius of Antioch,Letter to the Philadelphians,c. AD 107,Apostolic Fathers,Primary patristic text,Primary Text,Church Unity; Bishop; Eucharist,"Early Christians and the Eucharist; Eucharist / Holy Communion; Manna and the Eucharist; Melchizedek, Priesthood and Eucharist; The Eucharist as Sacrifice; The Eucharist: “Jesus Was Only Speaking Symbolically”",https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
af-008,Ignatius of Antioch,Letter to the Smyrnaeans,c. AD 107,Apostolic Fathers,Primary patristic text,Primary Text,Eucharist; Catholic Church; Bishop; Resurrection,"Early Christians and the Eucharist; Eucharist / Holy Communion; Manna and the Eucharist; Melchizedek, Priesthood and Eucharist; The Eucharist as Sacrifice; The Eucharist: “Jesus Was Only Speaking Symbolically”",https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
af-009,Ignatius of Antioch,Letter to Polycarp,c. AD 107,Apostolic Fathers,Primary patristic text,Primary Text,Bishop; Marriage; Pastoral Ministry,"Ignatius of Antioch and the Catholic Church; Annulments and the Marriage Bond; Clement of Rome and Apostolic Ministry; Irenaeus, Polycarp and Apostolic Succession; Matrimony / Christian Marriage; Polycarp and the Apostolic Generation",https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
af-010,Polycarp of Smyrna,Letter to the Philippians,c. AD 110–140,Apostolic Fathers,Primary patristic text,Primary Text,Salvation; Moral Life; Presbyters,Abortion; Alcohol / Wine; Almsgiving; Born Again: Water and the Spirit; Can Salvation Be Lost?; Cardinal Virtues,https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
af-011,Anonymous,Didache,c. AD 70–120,Apostolic Fathers,Primary patristic text,Primary Text,Baptism; Eucharist; Fasting; Church Order; Moral Life,"Early Christians and the Eucharist; Eucharist / Holy Communion; Manna and the Eucharist; Melchizedek, Priesthood and Eucharist; The Eucharist as Sacrifice; The Eucharist: “Jesus Was Only Speaking Symbolically”",https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
af-012,Anonymous,Epistle of Barnabas,c. AD 70–135,Apostolic Fathers,Primary patristic text,Primary Text,Typology; Covenant; Moral Life,The Ten Commandments in the New Covenant; Abortion; Alcohol / Wine; Almsgiving; Born Again: Water and the Spirit; Can Salvation Be Lost?,https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
af-013,Hermas,Shepherd of Hermas,c. AD 100–150,Apostolic Fathers,Primary patristic text,Primary Text,Repentance; Post-baptismal Sin; Church,Baptismal Regeneration; Mortal and Venial Sin; Original Sin,https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
af-014,Anonymous,Martyrdom of Polycarp,c. AD 155–160,Apostolic Fathers,Primary patristic text,Primary Text,Martyrdom; Saints; Prayer,Intercessory Prayer of Saints; Repetitious Prayer; Angels and Guardian Angels; Assumption and Coronation of Mary; Canonization and the Recognition of Saints; Christian Prayer,https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
af-015,Anonymous,Epistle to Diognetus,c. AD 130–200,Apostolic Fathers,Primary patristic text,Primary Text,Christian Identity; Incarnation; Moral Witness,Abortion; Alcohol / Wine; Almsgiving; Born Again: Water and the Spirit; Can Salvation Be Lost?; Cardinal Virtues,https://github.com/jtauber/apostolic-fathers,https://www.newadvent.org/fathers/,CC BY-SA 4.0 applies to Open Apostolic Fathers Greek text; reader translations may have separate terms.,Indexed,Open Apostolic Fathers provides a corrected Lake Greek text; VCS indexes metadata and links rather than silently treating translations as equivalent.
pat-justin,Justin Martyr,First Apology; Dialogue with Trypho,c. AD 150–160,Ante-Nicene,Primary patristic corpus,Primary Text,Eucharist; Baptism; Sunday Worship; Messianic Prophecy; Christian Worship,"Early Christians and the Eucharist; Eucharist / Holy Communion; Manna and the Eucharist; Melchizedek, Priesthood and Eucharist; The Eucharist as Sacrifice; The Eucharist: “Jesus Was Only Speaking Symbolically”",https://www.ccel.org/ccel/schaff/anf01,https://www.newadvent.org/fathers/0126.htm,ANF/NPNF English translations are public-domain historical editions; verify against modern critical editions for publication-level scholarship.,Indexed,CCEL provides proofed electronic ANF/NPNF texts; New Advent is used as a convenient Catholic reader-facing access layer.
pat-irenaeus,Irenaeus of Lyons,Against Heresies,c. AD 180,Ante-Nicene,Primary patristic corpus,Primary Text,Apostolic Succession; Church of Rome; Eucharist; Mary as New Eve; Scripture & Tradition,"Irenaeus, Polycarp and Apostolic Succession; Apostolic Succession; Apostolic Succession: “Authority Ended With the Apostles”; Early Christians and Apostolic Succession; Early Christians and the Eucharist; Eucharist / Holy Communion",https://www.ccel.org/ccel/schaff/anf01,https://www.newadvent.org/fathers/0103.htm,ANF/NPNF English translations are public-domain historical editions; verify against modern critical editions for publication-level scholarship.,Indexed,CCEL provides proofed electronic ANF/NPNF texts; New Advent is used as a convenient Catholic reader-facing access layer.
pat-tertullian,Tertullian,Selected Treatises,c. AD 197–220,Ante-Nicene,Primary patristic corpus,Primary Text,Baptism; Tradition; Prayer for the Dead; Christian Practice,Prayer for the Dead; Baptism; Christian Prayer; Infant Baptism; Infant Baptism: “Only Believers Who Can Personally Profess Faith May Be Baptized”; Intercessory Prayer of Saints,https://www.ccel.org/ccel/schaff/anf03,https://www.newadvent.org/fathers/,ANF/NPNF English translations are public-domain historical editions; verify against modern critical editions for publication-level scholarship.,Indexed,CCEL provides proofed electronic ANF/NPNF texts; New Advent is used as a convenient Catholic reader-facing access layer.
pat-hippolytus,Hippolytus of Rome,Selected Writings,c. AD 200–235,Ante-Nicene,Primary patristic corpus,Primary Text,Church Order; Baptism; Eschatology,"Baptism; Clement of Rome and Apostolic Ministry; Councils of Rome, Hippo and Carthage and the Canon; Infant Baptism; Infant Baptism: “Only Believers Who Can Personally Profess Faith May Be Baptized”; The Millennium and Catholic Eschatology",https://www.ccel.org/ccel/schaff/anf05,https://www.newadvent.org/fathers/,ANF/NPNF English translations are public-domain historical editions; verify against modern critical editions for publication-level scholarship.,Indexed,CCEL provides proofed electronic ANF/NPNF texts; New Advent is used as a convenient Catholic reader-facing access layer.
